Species,name,No,Date,FTime,psil,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci_Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo,Rdark,gastar,gm,Cc,CC_A,Photo_raw,Photo_addition,gm_Ci100to300,Cc_fromgm100300,Amax,g1,HHMMSS,Pot,ap_Vcmax,ap_Jmax,ap_TPU,ap_Vjratio,Vcmax,Jmax,TPU,Vjratio
1 Fraxinus excelsior ,Fraxinus excelsior ,8,828,1879,-0.68,3.896330166,0.038037733,223.6848805,81,68,374.3991699,2096.266846,359.3110352,571.1999512,483.3818359,0.82139718,0.370954016,0.153743212,-2.242955186,0.87,0.92,19.82585144,0.879912926,0.005847155,0.414453558,0.878011338,2.669935268,1201.280151,0.5,81.25497358,0.613070271,1.600863055,24.9642601,2,4.644859791,0,4.644859791,23.3961525,24.9642601,23.31742668,400.2275391,398.5555725,15.34038353,15.58167267,53.58995056,54.43286896,500.2443237,1201.280151,0.250825524,100.890686,4.779466629,0.650590658,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501221619,0.00061307,298.1142601,296.5461525,192.2048199,0.5892423,3.1729087,31.44897537,15.8673027,24.1802063,3.027548864,0.037728764,1.572045645,1.455503219,0.023608043,22.56772105,0.561238873,48.75055944,397.4111285,0.004830287,1721.867676,1057.021933,211.888916,0.446228489,0.885705049,-2.007774463,3.736745822,0.025698825,72.0697688,18.4968331,3.937616315,-0.041286149,0.028070608,84.88025761,-,1.730698383,-,0828fewet8,26.2,80,6,0.3275,118.5,87.1,6.4,1.360505166
1 Fraxinus excelsior ,Fraxinus excelsior ,9,829,1887.5,-0.63,9.158851651,0.075990663,192.1249562,60,51,433.2145996,2108.188965,365.1604004,636.3056641,481.3894043,0.794508648,0.426124234,0.243462016,-1.312155086,0.87,0.92,19.87944221,0.879939721,0.009953248,0.57134046,0.844440149,2.313170201,1199.746094,0.5,128.5119417,1.278602071,1.678731117,25.03166389,2,4.644859791,0,4.644859791,21.36710358,25.03166389,20.18591499,400.364563,396.4851379,14.48925209,14.99282169,57.04872513,59.03143311,500.2018433,1199.746094,0.188110396,100.5116959,4.196070671,0.684319735,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501009216,0.001278602,298.1816639,294.5171036,191.9593707,0.377632714,3.185685052,31.6946702,16.70184851,23.19938374,2.853929965,0.074767455,1.506953934,1.34697603,0.046838039,19.31080516,0.484570386,46.91290834,393.8125132,0.010954175,1674.974365,1055.704243,271.1452637,0.762792101,0.878749748,-2.840752218,3.745091183,0.090948558,91.42130743,9.981743446,9.195531083,-0.036679432,0.090325006,90.72610695,-,1.333178493,-,0829fewet9,72.5,97,6.8,0.74742268,143.8,91.8,6.3,1.566448802
1 Fraxinus excelsior ,Fraxinus excelsior ,10,809,2406.5,-0.6,17.03750094,0.167404808,214.6395618,30,27,445,2154,387.2570801,752.9724121,533.2385254,0.793407614,0.485695526,0.291821962,-0.77,0.87,0.92,19.8672142,0.879933607,0.01691495,0.600833127,0.793000256,1.860662576,1198.383057,0.5,153.8627685,3.461423502,2.107508666,28.10679817,2,4.644859791,0,4.644859791,23.87046814,28.10679817,22.04690742,400.5260925,393.1561584,15.55566597,16.916605,52.94424057,57.57624054,500.0764771,1198.383057,0.192011341,101.144516,-0.799245834,0.317180812,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500382385,0.003461424,301.2567982,297.0204681,191.7412848,-0.039020161,3.818530491,37.75321334,20.83660835,25.98863316,3.371989533,0.161581278,1.711021825,1.660967709,0.101495844,21.70961459,0.545939717,45.23124264,388.1958055,0.019885618,1709,1054.497526,365.715332,0.713485618,0.81979379,-0.765983981,4.141924906,0.235925718,142.4240312,8.359443775,17.06677339,-0.029272453,0.212998915,134.650887,-,2.032367099,-,0809fewet10,108.2,104.1,7.1,1.039385207,124.5,95.4,6.4,1.305031447
1 Fraxinus excelsior ,Fraxinus excelsior ,8,809,2943.5,-0.55,14.22129528,0.127679758,200.9756622,16,14,394.0246582,1964.794678,361.5415039,678.1462402,484.6594238,0.799457591,0.466867937,0.285317244,-0.81446109,0.87,0.92,19.80233383,0.879901167,0.014246543,0.611130518,0.802523556,1.897302324,1201.886108,0.5,150.8673403,2.610075919,2.067825053,28.11697006,2,4.644859791,0,4.644859791,23.86727715,28.11697006,22.06796455,399.8389587,393.7287292,16.29021072,17.3158989,55.50432968,58.99908066,500.1286316,1201.886108,0.219439477,101.2346268,-0.790704727,0.326000392,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500643158,0.002610076,301.2669701,297.0172771,192.301773,0.112455855,3.820793615,37.74196376,20.42606486,25.9921236,3.37268611,0.124263941,1.752968562,1.619717549,0.077964796,20.34569615,0.510441955,45.83651543,389.5865189,0.0167679,1570.77002,1057.540989,316.6047363,0.681000067,0.819119554,-0.81446109,4.143290852,0.172733834,118.6449747,8.34276853,14.2518417,-0.030546423,0.15409535,108.6867304,-,1.714121846,-,0809fewet8,108.3,133.1,9.3,0.813673929,189,128,9.1,1.4765625
1 Fraxinus excelsior ,Fraxinus excelsior ,10,817,oldlicor,-0.52,17.8711195,0.149,188,-,-,0,0,615.4,1151.8,874.3,0,0.466,0.241,-1,0.85,0.85,17,0.85,0.019,0.517,1.872,-1,1197.1,0.5,122.558,2.28,1.55,-,2,,0,4.64,21.67,24.91,19.92,400.5,392.98,15.018,15.914,58.37,61.85,500.2,1197,46,101.1,-3.83,0.887,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.478395847,-,-,-,-,-,-,-,-,-1.35,3.730038578,-0.980401972,206.2283594,11.53975605,17.9,-0.0288805,0.483588769,151.0448004,-,1.287374858,-,0817fewet10,131.5,-,10.3,-,126.9,-,9.6,-
1 Fraxinus excelsior ,Fraxinus excelsior ,9,809,3065.000244,-0.486,18.25477589,0.173850197,209.7504095,4,3,441,2322,396.3615723,794.7236328,548.1523438,0.810077519,0.501258606,0.310260421,-1.67,0.87,0.92,19.8672142,0.879933607,0.018893268,0.618962782,0.793127279,1.921770417,1200.068237,0.5,163.8144576,2.927401098,1.717367408,28.11365318,2,4.644859791,0,4.644859791,23.97656059,28.11365318,22.15265465,399.5188293,391.750061,19.61658859,20.76289368,66.42458344,70.30614471,500.1495361,1200.068237,0.192016795,101.2714386,-1.162526846,0.36468333,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500747681,0.002927401,301.2636532,297.1265606,192.0109137,0.060521011,3.82005552,37.7209564,16.95806272,26.04510689,3.383275254,0.167578001,2.102688112,1.280587142,0.105282269,21.24172571,0.535418958,55.35998317,386.4368239,0.026188793,1881,1055.980373,398.3620605,0.697073269,0.811949159,-1.667926555,4.142845401,0.295667182,148.0094487,8.107984981,18.28091978,-0.026143886,0.25492997,138.1433878,-,1.727700335,-,0809fewet9,114.5,113.9,8,1.005267779,128.2,105.2,7.2,1.218631179
2 Alnus glutinosa ,Alnus glutinosa ,6,829,1777,-0.85,3.596939378,0.020911905,110.7215577,34,29,0,0,310.1970215,491.5415039,395.5854492,#DIV/0!,0.368930153,0.195214552,-1,0.87,0.92,19.8672142,0.879933607,0.004390913,0.529136886,1.58461065,-1,1200.136597,0.5,103.0772392,0.405994893,1.910535983,26.68850517,2,4.644859791,0,4.644859791,22.03474045,26.68850517,20.29133034,399.515686,397.9967041,15.79306602,15.9528265,59.70379639,60.3077507,500.1463928,1200.136597,0.286077619,100.525383,4.182543755,0.73081708,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500731964,0.000405995,299.8385052,295.1847404,192.0218512,0.484517283,3.514199977,34.95833462,19.00550812,24.36162281,3.060654456,0.020818178,1.603663994,1.456990462,0.01301975,11.13032699,0.278197172,44.46379034,396.9396376,0.00407402,0,1056.040525,181.3444824,0.195214552,#DIV/0!,-1.6113956,3.954943679,0.075652203,63.17582579,17.56377274,3.636982045,-0.040042667,0.075652203,63.17582579,-,0.521120466,-,0829agwet6,18.6,-,0.6,-,12.6,-,0.4,-
2 Alnus glutinosa ,Alnus glutinosa ,10,809,2026.5,-0.55,13.15635652,0.101585757,175.0606233,68,61,384.5229492,2031.325562,316.5930176,590.1149902,430.5283203,0.810703436,0.463506227,0.270433174,-0.596430884,0.87,0.92,19.93251801,0.879966259,0.013036642,0.583451005,0.840487093,2.44225379,1201.644531,0.5,142.9789174,1.710958558,1.696178854,25.6999855,2,4.644859791,0,4.644859791,21.04904366,25.6999855,19.24820518,400.0360718,394.4920959,15.34978771,16.02302933,61.93931198,64.65596771,500.1306458,1201.644531,0.103190437,101.0195541,-0.438222885,0.297933757,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500653229,0.001710959,298.8499855,294.1990437,192.2631207,0.257955405,3.314818133,32.81362862,16.79059929,23.37451458,2.884276045,0.099411568,1.618639279,1.265636766,0.062323977,17.68454612,0.443762055,48.67222807,390.6589099,0.01643169,1646.802612,1057.406643,273.5219727,0.776229805,0.875156841,-1.88962,3.828643838,0.207536504,111.6676477,8.487733481,13.18860143,-0.032244913,0.199994724,109.2771054,-,1.152645485,-,0809agwet10,80.5,84.9,5.7,0.948174323,116.8,82.7,5.5,1.412333736
2 Alnus glutinosa ,Alnus glutinosa ,9,817,oldlicor,-0.405,7.67255325,0.0538,158,-,-,611.9,2113.4,522.3,824.9,678.2,0.71,0.367,0.178,-1.01,0.85,0.85,16,0.85,0.009,0.485,0.81,1.562,1200.2,0.5,90.733,0.864,1.6,-,2,,0,4.64,21.86,25.14,20.71,400.05,396.83,15.507,15.847,59.62,60.92,500.3,1200,1,101.2,-3.88,0.841,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.398155381,-,-,-,-,-,-,-,-,-1.6,3.758535563,0.140694404,103.4665357,13.48528088,7.71,-0.03744675,0.096020799,78.0948824,-,0.894018716,-,0817agwet9,73.9,-,5.3,-,85.1,-,3.6,-
2 Alnus glutinosa ,Alnus glutinosa ,8,809,4253,-0.358,18.45719506,0.187966799,222.6976221,80,72,404.3491211,2445.06665,373.8857422,759.140625,531.5612793,0.834626544,0.507488165,0.299785492,-0.979199041,0.87,0.92,19.87944221,0.879939721,0.018429731,0.590724105,0.813992645,2.220834941,1200.191772,0.5,158.3011914,2.483130684,1.354575394,25.04058266,2,4.644859791,0,4.644859791,21.45391655,25.04058266,20.18140221,399.9950562,392.2149963,17.16096878,18.13579941,67.57633972,71.4150238,500.2093811,1200.191772,0.024818772,101.0599823,-0.624608994,0.28476733,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501046906,0.002483131,298.1905827,294.6039165,192.0306793,0.168997398,3.187378961,31.53947674,13.40367733,23.2472496,2.862196137,0.180656063,1.832803567,1.02939257,0.113544867,22.50581775,0.567794766,58.11447659,386.8426266,0.027768648,2040.717529,1056.096414,385.2548828,0.641445309,0.826143747,-0.979199041,3.74619654,0.220207461,138.8803209,7.524454309,18.48437343,-0.027178367,0.195802174,128.4331169,-,1.726182653,-,0809agwet8,80.8,-,5.5,0.974668275,116.4,-,5.1,1.537648613
